,AUROC_mean,AUROC_std
RNA pole (2),0.9096461398855228,0.002523103494592913
RNA+enhMeth pole (4),0.9160787379589559,0.0032032482259589127
DMOI enhancer (6: +disagree),0.9165881799990693,0.003176147989167542
"DMOI promoter (6, contrast)",0.9128134766624786,0.0020278465452006926
RNA ~1500 genes,0.9397214388757039,0.0
