,GSE57577,GSE77003
0610005C13RIK,0.16625397496262861,0.01699101825272553
0610007P14RIK,-0.03447663459679884,-0.41954226482263124
0610009B22RIK,0.45118802318904017,0.05350122148767511
0610009L18RIK,0.4995190437084138,-0.13401734797168763
0610009O20RIK,0.09245192426223436,-0.10061052936205606
0610010F05RIK,-0.31362980294151743,-0.7327192308179278
0610010K14RIK,0.3563815979981575,-0.10163056144330973
0610011F06RIK,0.158500184940916,-0.1482036671128535
0610012G03RIK,0.08985800485649165,-0.03424410895183705
0610030E20RIK,-0.20564860735057056,-0.5676588720881348
0610031J06RIK,-0.09028575003566175,-0.053337057345713035
0610037L13RIK,0.11682694246578063,0.08104185234593819
0610039K10RIK,0.06653417817145148,0.8564971052373926
0610040B10RIK,0.3649131108506618,0.7123355760743099
0610040F04RIK,-0.017320919318992628,0.20616319887879886
1010001N08RIK,0.2821272119302108,-0.14060943461775666
1110001J03RIK,0.13532901134973496,0.14563230784563874
1110002L01RIK,0.6033244571530911,0.33911043524626505
1110004E09RIK,0.2765794934423935,-0.21417778061774495
1110004F10RIK,-0.15206978355676348,0.13231172546736225
1110007C09RIK,0.1337866338245841,0.10737247366345137
1110008F13RIK,0.11036236268815891,0.07022734835449018
1110008L16RIK,0.0066259019080789905,-0.032140903991566994
1110008P14RIK,0.34878946975934433,0.07390493602234649
1110012L19RIK,0.0471768415577829,-0.09991377029560544
1110019D14RIK,-0.7905897352760021,-0.35631692827946804
1110032A03RIK,0.2636366699162189,0.5123514066462329
1110032F04RIK,-0.37286263402289677,-0.4123927780232799
1110034G24RIK,0.5551161842718151,0.18617139370990943
1110037F02RIK,-0.08695397205495059,-0.0006395906299974108
1110038B12RIK,0.4349512284138486,0.5871250113761297
1110038F14RIK,0.02505930609906759,0.18904216068013735
1110046J04RIK,-0.14711975507657543,0.06849073239989933
1110051M20RIK,0.159146680936884,0.5412330419626976
1110054M08RIK,0.25601560839614435,-0.07075809354537754
1110057K04RIK,-0.2067354834482953,0.37123196358330723
1110058L19RIK,0.1503235677298198,-0.4447804264735562
1110059E24RIK,-0.5798394419484936,0.2819853199438631
1110059G10RIK,-0.39522678607142225,0.09292851353287945
1110065P20RIK,-0.32238214015344235,0.018695347661852324
1190002N15RIK,-0.6325148286851214,-0.1328839876387531
1190007I07RIK,0.11755931777513329,0.31134650084558135
1200014J11RIK,-0.403442140175585,-0.37447322562976426
1300002E11RIK,-0.1290452544933749,-0.18797069796298116
1500009C09RIK,-0.22171006803208482,0.09502318472053273
1500009L16RIK,-0.21415896316485572,0.02876628025286454
1500011B03RIK,0.20344257826432188,-0.16385006770895716
1500011K16RIK,0.65141735897204,0.44514729921545104
1500012F01RIK,0.13933058967848666,0.5847338349139912
1500017E21RIK,-0.2928786633757672,-0.11157180210288431
1600002H07RIK,0.06225543377295306,0.08365459094861016
1600002K03RIK,-0.1819883839808525,0.5155871857784544
1600012H06RIK,-0.00448119584300688,0.05151621151968566
1600014C10RIK,-0.033452502819985686,0.14475004094262145
1600014K23RIK,-0.1387897712554007,-0.08125920561787525
1600020E01RIK,0.06437112098177744,0.5150536028831838
1700001G11RIK,-0.2515131223959568,0.36633548217616885
1700001L05RIK,0.6604897911859076,0.24214734926823844
1700001O22RIK,-0.259429844197534,0.4977718110659439
1700001P01RIK,0.10194384594154648,0.47146919403001764
1700003E16RIK,-0.16399051834311174,-0.38683612613115503
1700003F12RIK,-0.14741733903909604,-0.04187075132138329
1700007K13RIK,-0.12653762267024682,0.08371673139658942
1700007L15RIK,0.19594212253377785,-0.07548214190290548
1700008O03RIK,0.17877310108142552,-0.18933563992947722
1700009P17RIK,-0.1353022458618145,0.18075203192666822
1700013H16RIK,-3.503007725269586,-0.9274787444131101
1700016K19RIK,0.5659045291693282,-0.33175436652679535
1700017B05RIK,-0.07638685266696887,-0.028653580207083973
1700019A02RIK,-1.2580173129299752,0.017339067453947088
1700019B21RIK,-2.1516618274919983,-0.03117831084174527
1700019D03RIK,0.3314300957330909,1.1468615051379691
1700019G17RIK,-0.14659625241839058,-0.1659072387536007
1700019L03RIK,0.07006711806589405,0.43654233909307494
1700020I14RIK,-0.10852468742104149,0.07075321547099112
1700020L24RIK,0.01711944861772674,-0.5224339087314436
1700021F05RIK,0.1978674824712181,0.33895442719910474
1700021K19RIK,0.01386660496570924,-0.23149220257398895
1700023F06RIK,0.48413422197634914,-0.18073175639889505
1700025G04RIK,0.11480470992567038,-0.19503430571598646
1700026D08RIK,-0.2660278958692884,-0.11412987412342968
1700026L06RIK,0.10278860860159844,0.1959456399802083
1700028I16RIK,0.3578692143607469,0.620678875629168
1700028K03RIK,-0.11542043280662684,0.17499527811984106
1700029P11RIK,0.8297431866353313,0.953001445015357
1700030C10RIK,0.23378070919117722,1.143529403090843
1700030J22RIK,0.26436498780896633,-0.26398920073356025
1700030K09RIK,0.08371726423311499,-0.4290828364042625
1700034H15RIK,-0.14791647711193945,0.12932645133677145
1700034P13RIK,0.12545275410461487,0.3253596280268427
1700037C18RIK,0.12972279354393423,-0.20373163455825605
1700037H04RIK,0.018563407834776058,-0.08455260861882685
1700042O10RIK,-0.5905911537594606,-0.37859857013087506
1700047A11RIK,0.0,-0.6477296739861466
1700048O20RIK,-0.06471615824100341,0.013935551900896792
1700049G17RIK,0.11658931565638686,0.050773540152079466
1700052N19RIK,0.24060007705959174,-0.024479752543022038
1700056E22RIK,0.00327934103930283,-0.2704892710795031
1700061G19RIK,0.22618600400728361,0.4887031988453612
1700065D16RIK,0.14175517043590002,0.2785354993739819
1700066M21RIK,0.10614697765134373,-0.017157121196517355
1700067K01RIK,0.10188756985573355,-0.47470692691144856
1700071M16RIK,-0.627969466820137,-0.2768816151104277
1700080O16RIK,-2.9440651571742054,-2.39893843708643
1700084E18RIK,-0.3153325488490234,0.27726579167445353
1700086O06RIK,-0.4121557235072819,0.20180137570934953
1700088E04RIK,-0.019668061284201732,0.2600471964487112
1700092M07RIK,-0.5125605697439525,0.32126361569811274
1700094D03RIK,0.3110846485935488,0.3819648767808461
1700101E01RIK,-0.02749128767311304,-0.19823822692232818
1700101I11RIK,-0.08109552134567038,-0.7554493325976808
1700102P08RIK,0.7131563953360176,0.5368839273820288
1700109H08RIK,0.16179729721896252,0.4027167112393861
1700110K17RIK,0.01789387859412142,0.3352043217031506
1700113A16RIK,0.16428067673472135,-0.2633986979979088
1700123I01RIK,0.0028532973712416254,0.4860143035260697
1700123O20RIK,0.017791542822963358,0.4484628964939321
1810009A15RIK,0.4247966029502832,0.6796121690292889
1810010H24RIK,0.2784889856467392,-0.5079366074670333
1810011O10RIK,-0.18272882900770204,-0.3606276461929476
1810013L24RIK,0.15837860527557357,-0.08198117522021953
1810014B01RIK,-0.003914558172131599,0.61869968551865
1810019D21RIK,-0.1700991172761679,-0.3409270275169354
1810022K09RIK,0.06378610749381242,-0.021766610620661098
1810026J23RIK,-0.20729304874795984,0.07375636552363396
1810030O07RIK,0.046195506033760214,-0.027839914839926205
1810032O08RIK,-0.06401754606857502,0.057521235346984945
1810037I17RIK,0.14868520087332193,0.052381654948006506
1810043G02RIK,0.6796899596682087,-0.04104148681173703
1810043H04RIK,0.048144610323991976,-0.22352339695204915
1810055G02RIK,-0.08268509424538717,0.09095602196086006
1810058I24RIK,0.07363303483377415,-0.32222262361527765
1810062O18RIK,0.05954617987828181,0.0008248685421332613
2010012O05RIK,-0.09647915533807461,0.09787945719567759
2010015L04RIK,0.4476977847314152,-0.073533387449769
2010107E04RIK,-0.01533662696957272,-0.13004680409477842
2010107G23RIK,0.5960811928287866,0.3901413673933005
2010111I01RIK,0.22854644416483882,0.6536469318921854
2010204K13RIK,0.11020817719211085,0.11571144967939251
2200002D01RIK,0.20714786115699413,-0.07260746313158961
2210011C24RIK,0.628556802950591,0.4424957632555171
2210013O21RIK,0.5047128986237115,0.13712677051602817
2210015D19RIK,0.061138571255772156,-0.2638748005367808
2210016F16RIK,0.07214296050460955,0.06708266808745256
2210016L21RIK,0.31004470547340635,0.4080494983144787
2210018M11RIK,0.012223280532506209,-0.16560498374634625
2210404O09RIK,-0.6134615670123917,0.6198273506323848
2210408I21RIK,-0.01219780039530971,0.06992749305603252
2210409E12RIK,0.20048202448939367,-0.7699926635318501
2300002M23RIK,-0.7670802130869334,-1.1017231257939817
2300009A05RIK,-0.1939053174346661,0.5358356432499809
2310001K24RIK,0.4001990750479828,-0.20000324628297117
2310003H01RIK,0.3427099359627066,-0.7487666926826657
2310009B15RIK,-0.1999000224025007,0.46788938154457904
2310010J17RIK,0.056062146008504454,0.3118631578034128
2310011J03RIK,0.18014026934095861,0.16117303311135078
2310014L17RIK,-0.05337641126418924,0.24307267417612277
2310022A10RIK,0.3138751777937161,0.19915428949170622
2310022B05RIK,0.8697485403079592,-0.37954603168185264
2310030G06RIK,-0.07549088840931129,0.3119774350751343
2310033P09RIK,0.15040364936489192,0.02372063395844748
2310035C23RIK,-0.03670658643970537,0.214960037407383
2310036O22RIK,-0.12840845391116673,0.3035318785501353
2310039H08RIK,0.2164341232462914,0.35182332032124464
2310045N01RIK,0.78470216567443,0.09552586836435806
2310047M10RIK,-0.2532847785214185,-0.36067935426615083
2310057M21RIK,-0.35358754638098633,0.03970143072703136
2310061I04RIK,0.4953723940049528,0.1814680241588844
2310067B10RIK,0.34082902104295565,-0.19775341498722687
2410002F23RIK,0.28017712808959416,0.22516431769845102
2410003L11RIK,0.8388446475417748,0.04772436191203511
2410004B18RIK,-0.25164545222610446,0.19123607246898455
2410004I01RIK,-0.16344452023890055,-0.6150232531783801
2410004N09RIK,0.1438955483472455,1.0579612922620028
2410004P03RIK,-0.08964721316808422,-0.5700059595416397
2410006H16RIK,0.22942278154103235,0.11842074636953814
2410012M07RIK,-0.1777955564272502,0.11165876387922768
2410015M20RIK,0.1599275522081216,0.5522583356484496
2410016O06RIK,-0.2646442572646146,-0.016378927568926116
2410017I17RIK,-0.015124858340023558,-0.1420459688668756
2410018L13RIK,-0.12861381865507227,-0.5203869320666481
2410089E03RIK,-0.2574612302167214,-0.13459274747314742
2410124H12RIK,0.5593518248534628,0.019331478251933598
2410127L17RIK,-0.2536883271249799,-0.08635096514604079
2410131K14RIK,-0.16778970526126336,0.2374160276649846
2410137M14RIK,0.6159591302260847,-0.4314187549050068
2410141K09RIK,0.15042750412675332,1.151894061368243
2510002D24RIK,0.19800553404110666,-0.22274176566768977
2510003E04RIK,0.01559344233719484,0.08272466557498781
2510009E07RIK,-0.1607081743006573,0.17701978991567613
2510039O18RIK,-0.25975691644935406,-0.22155599554769534
2610001J05RIK,-0.207965727129233,-0.7552238459780449
2610002J02RIK,0.6122442676509614,0.14085284317477154
2610002M06RIK,-1.1060358052736374,-0.29447034907170977
2610005L07RIK,0.006097399787115876,-0.24256147634692748
2610008E11RIK,-0.026025768041712194,0.3794633139338821
2610015P09RIK,0.3625929991402641,-0.4337544582943411
2610018G03RIK,-0.8160229352084674,-0.3854238141055899
2610020C07RIK,0.22641033713660985,-0.42679709883101147
2610020H08RIK,0.05456659693024424,0.282194150155066
2610034B18RIK,0.056463663431767674,0.07058805990368122
2610035F20RIK,-0.31054740045935636,-0.5537671963790737
2610037D02RIK,0.06632591969580373,-0.3915392773313151
2610203C20RIK,0.01930106748327654,0.8103860400261971
2610301B20RIK,0.37947824574487665,-0.17177717959493766
2610305D13RIK,-0.1711646123600863,0.5811751077103438
2610318N02RIK,0.9548634155205251,0.7766713949617681
2610507B11RIK,0.34031468449922375,-0.5499442098030842
2610524H06RIK,-0.012486927879915122,0.07873532810931838
2610528J11RIK,1.1778348195997146,1.3480341733562604
2700029M09RIK,-0.27019212611562793,-0.6982120250216726
2700038G22RIK,-0.005690722161519446,0.33801100322084365
2700049A03RIK,0.2407574440291298,-0.33261922899031093
2700060E02RIK,0.03552823389386095,0.005110462669414062
2700062C07RIK,-0.02592092523834566,0.2959043225664719
2700081O15RIK,-0.27528939643769457,0.6902115183103885
2700089E24RIK,-0.7727736070914122,0.12357840278670595
2700094K13RIK,-0.19504382103126616,-0.07229362648083448
2700097O09RIK,-0.20570708872061338,-0.06048728199473086
2810001G20RIK,0.31921925931912987,-0.08373012237400945
2810002D19RIK,0.3166792380015281,0.22147129378681307
2810004N23RIK,-0.10325603347217527,-0.4110448284686097
2810006K23RIK,0.2929755861882728,0.21867891853738408
2810008D09RIK,0.746063633852533,0.5038618681479146
2810021J22RIK,-1.0438409821737524,0.12434786025382238
2810025M15RIK,-0.02708528266206578,0.16805715845178515
