RNA_noise_sigma,RNA_only,RNA+meth,RNA+meth+disagree,multiomics_gain
0.0,0.9090325561915397,0.9152265065847642,0.9155900414165388,0.0065574852249991045
0.5,0.8843870073060636,0.894764437619247,0.8950160919540231,0.01062908464795953
1.0,0.7941157894736842,0.8049940899995346,0.8050455488854764,0.010929759411792195
2.0,0.6624954534878309,0.6881038019451813,0.688074987202755,0.025579533714924052
3.0,0.601267048257248,0.6338713667457769,0.6340612220205686,0.03279417376332061
