,AUROC_mean,AUROC_std
RNA pole (2),0.9497767499556974,0.02907919144132376
"naive DMOI (meth both, 4)",0.9400295233032075,0.03431037595282658
"SELECTIVE (meth ER only, 3)",0.9461369129895445,0.032188597543952965
SELECTIVE + disagree_ER (4),0.9454949317738791,0.03292790643941735
