,0
RNA (2000 genes),0.9097538543328018
RNA+METH concat (naive),0.8936881977671451
RNA pathway (50),0.845276980329612
RNA+METH pathway,0.8234343434343433
RNA+METH pathway + disagree,0.8194436469962787
MOFA joint factors (10),0.828669590643275
