context,n_genes,meth_top1000_AUROC,meth_pole_AUROC,RNA_pole_AUROC,RNA+meth_pole_AUROC,gain_vs_RNApole
promoter,16804,0.8335476755549351,0.477649215877891,0.9137082228116711,0.9103494811298803,-0.0033587416817907334
CGI-shore,13091,0.8717850062822841,0.5826543813113687,0.9154777793289591,0.9146508446181766,-0.0008269347107825453
distal/enhancer,10390,0.8577796081716226,0.5980167527572247,0.9072143887570385,0.9159113965284564,0.008697007771417908
