model,AUROC_mean,AUROC_std,delta_vs_v1,wilcoxon_p_vs_v1
RNA poles only (LR),0.9081444149720013,0.0027569677505830687,-0.005223416631764954,0.00048828125
orig DMOI v1 (LR),0.9133678316037662,0.0038596941498778613,0.0,1.0
DMOI v2 no-reliability (GBT),0.9227516171064264,0.005099781141465592,0.009383785502660169,0.00048828125
DMOI v2 reliability+int (GBT),0.9132782276203328,0.005416502291017803,-8.960398343338394e-05,0.9697265625
DMOI v2 gene-level (GBT),0.9186852265500179,0.004552324761635123,0.005317394946251719,0.0068359375
DMOI v2 (permuted-label null),0.5002925636372098,0.0,-0.41307526796655647,
