cohort,n,lumB,prolif_auroc,er_auroc,corr_prolif_er,partial_corr_er_given_prolif,cohen_d_prolif,cohen_d_er,unique_er_r2,common_r2,redundancy,prop_mediated,collinearity_label
TCGA,628,194,0.919,0.617,0.188,-0.243,1.75,-0.19,0.0383,-0.0318,-4.946,-1.483,NOVEL
METABRIC,1175,475,0.919,0.57,-0.173,-0.007,1.95,-0.25,0.0,0.0156,0.998,0.959,REDUNDANT
