axis,n,RNA_pole,RNA+meth,+disagree,multiomics_gain,mo_p,disagree_gain,disagree_p
HER2-vs-Luminal,436,0.9502988304093567,0.9409327219564061,0.9382379585326955,-0.009366108452950606,0.00390625,-0.0026947634237105555,0.001953125
LumA-vs-LumB,417,0.9067796081716226,0.9149362650658477,0.9148953138815207,0.008156656894225067,0.001953125,-4.095118432700939e-05,0.76953125
Basal-vs-Luminal,502,0.9945720135443734,0.9928679423576658,0.9932435624852352,-0.0017040711867075675,0.001953125,0.0003756201275693094,0.02734375
