endpoint,anchor,n,anchor_auroc,rna_alone_auroc,combined_auroc,delta_over_anchor,data_added
LumA_vs_LumB,"proliferation_signature(20 genes, 0 trained params)",417,0.919,0.942,0.947,0.029,RNA
normal_tissue_age,"Horvath_clock(353 CpGs, 0 trained params)",84,0.947,0.911,0.942,-0.003,RNA
