,0
RNA (2000 genes),0.9495988645353437
RNA pole (2 feats),0.9137082228116711
METH pole (2 feats),0.477649215877891
RNA+METH pole (4),0.9103494811298803
RNA+METH pole + disagree (6),0.9098219554190518
