endpoint,n,pos,auroc_rna,auroc_meth_genomewide,auroc_immune_deconv,auroc_immune_cpgs,auto_anchor,auto_delta
histology_idc_ilc,768,184,0.907,0.871,0.599,0.829,RNA,0.0
node_status,800,438,0.557,0.548,0.545,0.553,RNA,0.0
