hypothesis,delta_curated,delta_metaPCNA,mean_delta,both_anchors_support,auroc_hypothesis,q_value,robust_verdict,unique_r2,redundancy,prop_mediated,collinearity_label
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0219,0.0214,0.0216,True,0.615,0.0,SUPPORTED,0.1099,-6.932,-1.982,NOVEL
HALLMARK_APICAL_SURFACE,0.0219,0.0178,0.0198,True,0.746,0.0,SUPPORTED,0.0888,0.365,0.196,NOVEL
HALLMARK_P53_PATHWAY,0.0199,0.0163,0.0181,True,0.723,0.0,SUPPORTED,0.076,0.359,0.193,NOVEL
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0169,0.0166,0.0167,True,0.7,0.0,SUPPORTED,0.1014,-0.725,-0.324,NOVEL
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0191,0.0087,0.0139,False,0.762,0.0,EXPLAINED_BY_TEXTBOOK,0.0671,0.578,0.329,NOVEL
HALLMARK_NOTCH_SIGNALING,0.0178,0.0067,0.0123,False,0.747,0.0,EXPLAINED_BY_TEXTBOOK,0.0618,0.59,0.339,NOVEL
HALLMARK_APICAL_JUNCTION,0.0171,0.0052,0.0112,False,0.746,0.0,EXPLAINED_BY_TEXTBOOK,0.0681,0.496,0.277,NOVEL
HALLMARK_MYOGENESIS,0.0148,0.0061,0.0104,False,0.782,0.0,EXPLAINED_BY_TEXTBOOK,0.033,0.792,0.505,NOVEL
HALLMARK_COAGULATION,0.0139,0.0003,0.0071,False,0.747,0.0,EXPLAINED_BY_TEXTBOOK,0.0573,0.606,0.351,NOVEL
HALLMARK_KRAS_SIGNALING_DN,0.0079,0.0059,0.0069,False,0.704,0.0,EXPLAINED_BY_TEXTBOOK,0.0594,0.387,0.212,NOVEL
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0135,-0.0013,0.0061,False,0.7,0.0,EXPLAINED_BY_TEXTBOOK,0.0334,0.672,0.41,NOVEL
HALLMARK_TGF_BETA_SIGNALING,0.0073,0.0046,0.0059,False,0.757,0.0,EXPLAINED_BY_TEXTBOOK,0.0399,0.744,0.46,NOVEL
HALLMARK_HYPOXIA,0.0059,0.0046,0.0053,False,0.717,0.0,EXPLAINED_BY_TEXTBOOK,0.0366,0.689,0.422,NOVEL
HALLMARK_APOPTOSIS,0.0133,-0.0045,0.0044,False,0.677,0.0,EXPLAINED_BY_TEXTBOOK,0.0504,0.331,0.179,NOVEL
HALLMARK_UV_RESPONSE_DN,0.0067,-0.0003,0.0032,False,0.785,0.0,EXPLAINED_BY_TEXTBOOK,0.0423,0.778,0.481,NOVEL
HALLMARK_KRAS_SIGNALING_UP,0.005,-0.0019,0.0016,False,0.708,0.0001,EXPLAINED_BY_TEXTBOOK,0.0341,0.67,0.408,NOVEL
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0048,-0.0027,0.0011,False,0.714,0.0107,EXPLAINED_BY_TEXTBOOK,0.0427,0.579,0.339,NOVEL
HALLMARK_HEDGEHOG_SIGNALING,0.0011,0.0,0.0005,False,0.72,0.2463,EXPLAINED_BY_TEXTBOOK,0.0356,0.699,0.43,NOVEL
HALLMARK_MYC_TARGETS_V2,0.0,0.0,0.0,False,0.755,0.5814,EXPLAINED_BY_TEXTBOOK,0.0035,0.98,0.819,REDUNDANT
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0,0.0,0.0,False,0.628,0.5814,EXPLAINED_BY_TEXTBOOK,0.0147,0.577,0.346,NOVEL
HALLMARK_ADIPOGENESIS,0.0,0.0,0.0,False,0.572,0.5814,REFUTED,0.0039,0.785,1.491,REDUNDANT
HALLMARK_PANCREAS_BETA_CELLS,0.0,0.0,0.0,False,0.647,0.5814,EXPLAINED_BY_TEXTBOOK,0.019,0.468,0.268,NOVEL
HALLMARK_PEROXISOME,0.0,0.0,0.0,False,0.528,0.5814,REFUTED,0.0008,0.722,0.472,INERT
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0,0.0,0.0,False,0.588,0.5814,REFUTED,0.0073,0.615,1.666,NOVEL
HALLMARK_PROTEIN_SECRETION,0.0,0.0,0.0,False,0.539,0.5814,REFUTED,0.0013,0.514,0.303,INERT
HALLMARK_MTORC1_SIGNALING,0.0,0.0,0.0,False,0.798,0.5814,EXPLAINED_BY_TEXTBOOK,0.0189,0.921,0.632,NOVEL
