,WT,WWD,R
H3K4me1 (enhancer),0.4790362933091926,0.7530956299893012,0.42723726442268123
H3K4me2 (gene body),0.39334458877442025,0.6025621059159977,0.3884894738655548
H3K4me3 (CGI/promoter),0.5778255349456538,0.946657479949215,0.5651624191001146
