,WT,WWD,R
H3K4me1 (enhancer),24.950122214234366,15.979821834723277,27.387172905525844
H3K4me2 (gene body),3.3272823574166743,2.859471857094709,4.034236827329413
H3K4me3 (CGI/promoter),1.3384562991654791,1.2191755519790775,1.6459708045220063
